2025-03-16T12:33:29.564Z,JTO/USDT:USDT,long,2.2700,2.1420,13.2000,3,-16.9163,-16.92,Stop Loss at -16.92%,41.39
2025-03-16T12:33:29.877Z,SUI/USDT:USDT,long,2.3862,2.2486,10.0000,3,-17.3007,-17.30,Stop Loss at -17.30%,31.93
2025-03-16T12:33:30.193Z,XRP/USDT:USDT,long,2.4413,2.3138,12.0000,3,-15.6679,-15.67,Stop Loss at -15.67%,886.57
2025-03-16T12:33:30.503Z,ADA/USDT:USDT,long,0.7540,0.7098,39.0000,3,-17.5862,-17.59,Stop Loss at -17.59%,94.37
2025-03-16T13:24:05.446Z,OP/USDT:USDT,long,0.8804,0.8359,34.0000,3,-15.1636,-15.16,Stop Loss at -15.16%,95.25
2025-03-16T14:10:00.421Z,ATOM/USDT:USDT,short,4.6370,4.5290,6.4000,3,6.9873,6.99,Take Profit at 6.99%,73.14
2025-03-16T16:10:06.916Z,XRP/USDT:USDT,long,2.2797,2.3312,13.0000,3,6.7772,6.78,Take Profit at 6.78%,890.18
2025-03-16T16:10:07.223Z,SUI/USDT:USDT,long,2.2187,2.2794,10.0000,3,8.2075,8.21,Take Profit at 8.21%,35.54
2025-03-16T16:10:07.526Z,INJ/USDT:USDT,long,9.6496,9.8748,3.1000,3,7.0009,7.00,Take Profit at 7.00%,2.55
2025-03-16T16:10:07.841Z,OP/USDT:USDT,long,0.8257,0.8434,72.6000,3,6.4309,6.43,Take Profit at 6.43%,98.01
2025-03-16T23:04:43.192Z,JTO/USDT:USDT,short,2.1120,2.0690,14.1000,3,6.1080,6.11,Take Profit at 6.11%,51.91
2025-03-17T01:48:03.105Z,DOT/USDT:USDT,short,4.2240,4.4421,7.1000,3,-15.4901,-15.49,Stop Loss at -15.49%,58.09
2025-03-17T07:04:43.668Z,OP/USDT:USDT,short,0.8275,0.8703,36.2000,3,-15.5166,-15.52,Stop Loss at -15.52%,112.92
2025-03-17T09:13:03.807Z,ARB/USDT:USDT,long,0.3627,0.3709,82.7000,3,6.7825,6.78,Take Profit at 6.78%,115.96
